Linux 3.10.0-229.4.2.el7.x86_64 (d01enspbsedb1) 	07/13/16 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:40:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
05:40:01          0      0.30      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.58
05:40:01          1      0.30      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.56
05:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
05:50:01          0      0.37      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.52
05:50:01          1      0.26      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.60
06:00:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
06:00:01          0      0.34      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.54
06:00:01          1      0.27      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.59
06:10:01        all      0.32      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
06:10:01          0      0.37      0.00      0.10      0.00      0.00      0.00      0.01      0.00      0.00     99.52
06:10:01          1      0.27      0.00      0.13      0.02      0.00      0.00      0.01      0.00      0.00     99.58
06:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
06:20:01          0      0.38      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.50
06:20:01          1      0.24      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.63
06:30:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
06:30:01          0      0.31      0.00      0.10      0.00      0.00      0.00      0.01      0.00      0.00     99.58
06:30:01          1      0.31      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.54
06:40:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
06:40:01          0      0.29      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.59
06:40:01          1      0.33      0.00      0.10      0.02      0.00      0.00      0.01      0.00      0.00     99.55
06:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
06:50:01          0      0.30      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.58
06:50:01          1      0.31      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.55
07:00:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
